1.1547,0.41474,1.122,0.43496
1.1775,0.33257,0.84204,0.71018
0.9828,0.45865,0.76847,1.0283
1.1794,0.42675,0.33661,1.0393
1.1091,0.483,0.029373,1.1124
0.97544,0.48399,-0.14884,1.1919
1.0207,0.46865,-0.50558,0.81959
1.0878,0.31742,-0.64556,0.83102
1.1904,0.32622,-0.76377,0.35632
1.1923,0.38892,-0.8542,0.16678
0.99046,0.44173,-0.76605,-0.16241
1.1937,0.47263,-0.75031,-0.41901
1.1903,0.41092,-0.40405,-0.71876
1.0724,0.51401,-0.066367,-0.79599
1.1511,0.48861,0.21673,-0.79721
0.98653,0.55118,0.33058,-0.94624
0.85181,0.80663,-0.83951,0.02357
0.98553,0.7173,-0.82994,-0.076507
0.81698,0.82369,-0.77106,-0.48803
0.87825,0.74721,-0.3923,-0.79717
0.82056,0.82721,-0.28387,-0.86546
0.8333,0.64796,0.073517,-0.81601
1.0149,0.75682,0.36836,-0.75239
0.69918,0.97785,-0.4141,0.95463
0.74936,0.8107,-0.61949,0.60546
0.76513,0.95956,-0.8429,0.5397
0.77646,0.90571,-0.83613,0.20009
0.65679,1.038,-0.92362,-0.23753
0.75771,0.8093,-0.57558,-0.45187
0.75156,0.92463,-0.54092,-0.56282
0.62844,0.9151,-0.24247,-0.77214
0.61753,0.92425,0.19946,-0.79026
1.2044,0.22262,-0.51741,-0.6221
1.0652,0.19974,-0.12625,-0.78967
1.1486,0.18359,0.034441,-0.9692
1.0056,0.012833,0.5182,-0.82496
1.1063,0.018221,0.62244,-0.7222
1.0782,0.022132,0.95607,-0.56475
1.0404,0.19959,1.0426,-0.27205
1.0447,0.23575,1.2017,0.049542
